X,Y,SITE_NO,ROAD_NAME,LOCATION_DESC,TRAFFIC_YEAR,MON_SUN,MON_FRI,SAT_SUN,PCT_HEAVY_MON_SUN,PCT_HEAVY_MON_FRI,PCT_HEAVY_SAT_SUN,NETWORK_PERFORMANCE_SITE,LG_NO,LG_NAME,RA_NO,RA_NAME,OBJECTID,GlobalID
114.983462,-29.9406299999999,52328,Indian Ocean Dr,North of Rudduck St,2025/26,1309,1286,1362,25.3,25.9,23.8,No,519,Coorow,14,Mid West-Gascoyne,7316649,{61ABE92E-1639-4F5A-88B9-DB6886C6B755}
115.448774,-29.1931739999999,52993,Midlands Rd,North of View St,2023/24,393,452,262,33.6,35.8,26,No,509,Mingenew,14,Mid West-Gascoyne,7316470,{C0DF47DF-75D6-486C-B1C6-9F597B22B91F}
114.675997,-28.8013089999999,53488,Edward Rd ,South of Geraldton Mt Magnet Rd,2024/25,3380,3888,2252,24.2,25.2,21.2,No,505,Greater Geraldton (C),14,Mid West-Gascoyne,7316149,{8F80FCCC-3361-414C-88CE-527BE2DCDE09}
115.09291,-29.555675,53710,Brand Hwy,South of Indian Ocean Dr,2025/26,1655,1656,1650,32.9,36.2,24.9,Yes,508,Irwin,14,Mid West-Gascoyne,7316261,{C61D24BE-CFCC-4DAA-A9D4-B0469DAB0FE1}
114.654958,-28.431392,53972,Isseka Rd ,East of Percy Rd,2024/25,33,35,28,30.3,25.7,35.7,No,513,Northampton,14,Mid West-Gascoyne,7316424,{EE3688C4-5842-45E4-9A7C-886AD0188058}
113.843258,-24.831783,54041,Carnarvon Mullewa Rd,West of Gascoyne Junction,2025/26,49,44,61,32.7,34.1,32.8,No,805,Upper Gascoyne,14,Mid West-Gascoyne,7316462,{1E63B087-75D5-48CE-B8AA-9346E6B06353}
119.008325,-20.36623,16283,Great Northern Hwy,East of Marble Bar Rd,2023/24,565,578,531,32.2,33.6,29.6,No,813,Port Hedland (T),11,Pilbara,7317284,{B5E62103-7C0D-4AE2-BD5F-5ADB5D28C21C}
117.18715,-20.628325,16449,Point Samson Roebourne Rd,West of Honeymoon Rd,2024/25,1096,1038,1172,12,13.5,9.6,No,814,Karratha (C),11,Pilbara,7317296,{8930040A-59C0-4A43-AE10-4AC60307E358}
115.49166,-22.550395,16602,North West Coastal Hwy,South of Nanutarra Rd,2024/25,1126,997,1290,41.2,41.5,40.7,No,811,Ashburton,11,Pilbara,7317316,{243CDBB3-8409-45A9-8C52-2590632A692B}
117.779856,-22.697733,19530,Mine Rd,South of Bingarn Rd,2023/24,3368,3616,2790,20.4,20.2,21.1,No,811,Ashburton,11,Pilbara,7317600,{81E9F982-5236-40B7-AB60-F146EDFFDAF5}
116.77591,-20.612185,50109,Burrup Rd,North of Village Rd,2023/24,1877,2056,1372,27.3,27.3,27.5,No,814,Karratha (C),11,Pilbara,7317630,{77D09315-B9D9-44CB-827B-4A59F3D70580}
116.813186,-20.7368349999999,50626,Bayview Rd,East of Bathgate Rd,2024/25,4936,5229,4179,9.7,10.3,8.3,No,814,Karratha (C),11,Pilbara,7317687,{91D9FB4C-DD1F-4652-8A7F-D49235DF3239}
119.964012,-22.632602,51796,Marble Bar Rd,North of Fortescue River,2025/26,358,379,307,50.6,49.6,52.4,Yes,812,East Pilbara,11,Pilbara,7317915,{67575665-E2D2-4124-A7FB-AA868C0A5907}
119.79092,-23.389962,53570,Great Northern Hwy,North of Newman Airport,2024/25,2646,2911,1985,35.9,34.9,39.5,Yes,812,East Pilbara,11,Pilbara,7316164,{BB7FB226-FA75-4254-BDAB-F6B0464C8443}
118.596559,-20.3635659999999,53834,Great Northern Hwy,East of Pinga St,2023/24,3751,4044,2968,33.5,31.8,37.4,No,813,Port Hedland (T),11,Pilbara,7316343,{8FDB1842-0775-4712-9966-AE5E0C526DA9}
118.420207,-20.597687,8546,North West Coastal Hwy,West of Great Northern Hwy,2025/26,666,673,648,42.5,44.4,38,Yes,813,Port Hedland (T),11,Pilbara,7317071,{A7CBDF3C-FAEA-4BDB-AEDA-6267E2BEDEEB}
115.801382,-32.5680399999999,15009,Pinjarra Rd,West of Kwinana Fwy,2021/22,15088,15779,12958,7.9,8.8,5.7,No,215,Murray,2,South West,7317090,{DC957F4D-263E-4F2C-9D8F-722550AAA3A3}
115.700765,-33.405203,15056,South Western Hwy,North of Emmett Rd,2022/23,7366,8107,5658,14.3,16.1,8.8,No,206,Capel,2,South West,7317102,{244D78F9-E453-4BC1-85C1-4C89F1EDDDA4}
115.228678,-33.6891029999999,15081,Bussell Hwy,North of Marbellup Rd,2025/26,8110,8488,7046,18.8,21.4,12.8,No,205,Busselton (C),2,South West,7317113,{568CC426-F1FE-43E7-ADD0-0825DFC52F6F}
115.258235,-33.667977,15130,Bussell Hwy,South of Caves Rd (Abbey),2024/25,10734,11175,9635,11.5,12.6,8.7,No,205,Busselton (C),2,South West,7317123,{4958F13C-EBFD-45CB-88F4-764F1E083AB2}
